,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long,renovated_post2000,has_basement
5822,9829200250,1/5/2015,1700000.0,3,2,2600,6600,2,0.0,4.0,3,10,1950_to_1975,98122,47.6055,-122.285,1,1
5824,9359100500,5/27/2014,1800000.0,4,3,4060,13000,2,0.0,3.0,3,11,1997_to_2015,98040,47.581,-122.24600000000001,0,0
5844,3585900500,4/2/2015,1530000.0,4,4,4720,21000,3,0.0,4.0,5,11,1950_to_1975,98177,47.7591,-122.376,0,0
5858,4141800285,7/14/2014,1730000.0,4,2,3470,8000,2,0.0,1.0,3,9,pre1950,98122,47.6149,-122.287,0,1
5874,2525049148,10/7/2014,3420000.0,5,5,5450,20412,2,0.0,0.0,3,11,1997_to_2015,98039,47.6209,-122.23700000000001,0,0
5930,2911700020,7/21/2014,1480000.0,3,2,4470,22518,2,0.0,2.0,3,9,1950_to_1975,98006,47.574,-122.18,0,1
5952,2524049215,5/1/2015,1560000.0,4,4,3730,17000,2,0.0,3.0,4,10,1975_to_1997,98040,47.5355,-122.242,0,1
5961,5249800010,12/3/2014,2730000.0,4,4,6410,43838,2,0.0,2.0,4,12,pre1950,98144,47.5703,-122.28,0,1
6003,2125049024,6/20/2014,1330000.0,4,2,2870,6280,2,0.0,0.0,4,9,pre1950,98112,47.6329,-122.31,0,1
6035,1725059316,11/20/2014,2390000.0,4,4,6330,13296,2,0.0,2.0,3,13,1997_to_2015,98033,47.6488,-122.20100000000001,0,1
6039,4045100190,10/27/2014,2200000.0,4,3,4250,18000,2,0.0,3.0,5,10,1975_to_1997,98040,47.5612,-122.229,0,1
6115,1377300005,4/1/2015,1450000.0,4,4,3470,8580,2,0.0,0.0,3,11,1997_to_2015,98199,47.6433,-122.40299999999999,0,1
6189,9185700440,7/28/2014,2400000.0,4,4,5860,7200,2,0.0,0.0,5,10,pre1950,98112,47.6287,-122.287,0,1
6191,9178601660,5/14/2015,1700000.0,5,3,3320,5354,2,0.0,0.0,3,9,1997_to_2015,98103,47.6542,-122.331,0,0
6227,2024069008,6/19/2014,2200000.0,5,5,5990,10450,2,1.0,4.0,3,11,1997_to_2015,98027,47.5554,-122.07700000000001,0,1
6291,7855000460,10/7/2014,1450000.0,3,3,3940,9671,1,0.0,4.0,5,9,1950_to_1975,98006,47.5654,-122.15799999999999,0,1
6329,824059321,6/2/2014,1970000.0,4,4,4370,8510,2,0.0,1.0,3,10,1997_to_2015,98004,47.5876,-122.204,0,1
6349,4340000080,3/27/2015,1450000.0,4,4,2820,7809,2,0.0,0.0,3,10,1975_to_1997,98004,47.622,-122.195,0,0
6384,4139430250,3/30/2015,1440000.0,4,4,4970,16582,2,0.0,3.0,4,11,1975_to_1997,98006,47.5496,-122.12,0,1
6392,2524049148,3/17/2015,1580000.0,4,3,3120,20031,1,0.0,2.0,4,9,1950_to_1975,98040,47.5389,-122.242,0,1
6396,2624049091,3/13/2015,2900000.0,5,2,3750,91681,2,1.0,4.0,3,10,pre1950,98118,47.5379,-122.264,0,0
6471,7936500190,10/21/2014,1340000.0,4,4,2130,34689,2,1.0,4.0,3,9,1950_to_1975,98136,47.5489,-122.398,0,0
6493,1370802115,12/5/2014,1930000.0,3,4,3950,6134,2,0.0,3.0,3,11,1997_to_2015,98199,47.6413,-122.405,0,1
6495,2626069030,2/9/2015,1940000.0,4,6,7220,223462,2,0.0,4.0,3,12,1997_to_2015,98053,47.7097,-122.01299999999999,0,1
6502,4217402115,4/21/2015,3650000.0,6,5,5480,19401,2,1.0,4.0,5,11,pre1950,98105,47.6515,-122.277,0,1
6512,3885806565,1/30/2015,1340000.0,4,4,2980,6349,2,0.0,3.0,3,9,1997_to_2015,98033,47.6819,-122.208,0,0
6539,2581300010,6/9/2014,1350000.0,4,3,3300,15907,2,0.0,0.0,5,10,1975_to_1997,98040,47.5413,-122.21600000000001,0,0
6555,1025039292,10/30/2014,1340000.0,4,2,2900,21074,2,0.0,0.0,3,11,1975_to_1997,98199,47.6696,-122.416,0,0
6577,8562720420,4/30/2015,1350000.0,4,4,4740,8611,2,0.0,3.0,3,11,1997_to_2015,98027,47.5375,-122.07,0,1
6664,5608000630,11/3/2014,1520000.0,4,4,4500,11795,2,0.0,0.0,3,12,1975_to_1997,98027,47.5533,-122.098,0,0
6685,2624089007,3/20/2015,2000000.0,2,2,3900,920423,2,0.0,0.0,3,12,1997_to_2015,98065,47.5371,-121.756,0,0
6708,3126059027,3/18/2015,2650000.0,4,4,4700,13730,2,0.0,3.0,3,11,1950_to_1975,98033,47.6899,-122.21700000000001,0,1
6734,3391500050,7/3/2014,1880000.0,4,3,3930,10929,2,0.0,0.0,3,10,1997_to_2015,98004,47.6259,-122.194,0,0
6764,1336800010,6/13/2014,1340000.0,5,2,4200,5800,2,0.0,0.0,4,9,pre1950,98112,47.6284,-122.31200000000001,0,1
6765,5442300807,6/24/2014,2700000.0,5,3,3831,13800,2,1.0,4.0,3,9,1950_to_1975,98040,47.5919,-122.251,0,0
6777,5316100980,3/26/2015,2250000.0,3,3,4040,7200,2,0.0,2.0,4,9,pre1950,98112,47.6288,-122.28399999999999,0,1
6788,1727001300,6/9/2014,1900000.0,4,3,4130,112521,2,0.0,0.0,3,11,1975_to_1997,98005,47.6392,-122.165,0,0
6817,8964800225,3/3/2015,1430000.0,3,2,1890,12017,1,0.0,2.0,3,8,pre1950,98004,47.6203,-122.21,0,0
6849,1102000527,9/2/2014,1440000.0,4,4,4410,9231,3,0.0,3.0,3,11,1997_to_2015,98118,47.5427,-122.265,0,0
6862,3262300235,11/26/2014,1560000.0,5,2,2870,16238,2,0.0,0.0,4,8,1950_to_1975,98039,47.6308,-122.238,0,0
6910,9359100101,4/14/2015,1370000.0,5,2,3510,13843,1,0.0,2.0,3,8,1950_to_1975,98040,47.5817,-122.24600000000001,0,1
6946,4139500080,7/18/2014,1490000.0,4,4,5180,13077,2,0.0,3.0,3,12,1997_to_2015,98006,47.5513,-122.109,0,1
6953,723000114,5/5/2014,1400000.0,5,4,4010,8510,2,0.0,1.0,5,9,1950_to_1975,98105,47.6578,-122.286,0,1
6956,3885806105,5/21/2014,1580000.0,3,3,3690,7200,2,0.0,0.0,3,11,1997_to_2015,98033,47.6815,-122.2,0,0
6995,6377200010,12/8/2014,2180000.0,4,3,4750,21701,2,0.0,0.0,5,11,1975_to_1997,98004,47.6454,-122.21799999999999,0,0
7001,713500020,4/21/2015,1390000.0,4,4,4490,24767,2,0.0,2.0,3,11,1997_to_2015,98006,47.5544,-122.147,0,1
7028,853200010,7/1/2014,3800000.0,5,6,7050,42840,1,0.0,2.0,4,13,1975_to_1997,98004,47.6229,-122.22,0,1
7057,327000050,12/12/2014,1500000.0,4,3,3860,7199,2,0.0,1.0,3,9,1997_to_2015,98115,47.6855,-122.26899999999999,0,1
7070,2724079090,1/5/2015,1650000.0,4,3,3920,881654,3,0.0,3.0,3,11,1997_to_2015,98024,47.5385,-121.896,0,0
7120,1024049024,12/3/2014,1740000.0,5,4,4870,7700,2,0.0,3.0,5,10,pre1950,98144,47.5832,-122.29,0,1
7128,868002335,3/4/2015,1430000.0,3,3,2710,9204,2,0.0,4.0,3,9,1950_to_1975,98177,47.7039,-122.385,0,1
7184,7159200005,5/7/2014,3200000.0,7,4,6210,8856,2,0.0,2.0,5,11,pre1950,98109,47.6307,-122.354,0,1
7193,3629890190,6/6/2014,1300000.0,4,4,4270,6002,2,0.0,3.0,3,10,1997_to_2015,98029,47.5443,-121.994,0,1
7224,6448000020,1/29/2015,1490000.0,4,2,2420,18480,1,0.0,0.0,4,9,1950_to_1975,98004,47.6214,-122.227,0,0
7229,1245002391,10/22/2014,1400000.0,5,4,4230,6907,2,0.0,0.0,3,10,1997_to_2015,98033,47.6866,-122.205,0,1
7245,6762700020,10/13/2014,7700000.0,6,8,12050,27600,2,0.0,3.0,4,13,pre1950,98102,47.6298,-122.323,0,1
7262,4139470010,10/6/2014,1620000.0,4,3,4250,12281,2,0.0,4.0,3,12,1975_to_1997,98006,47.5507,-122.113,0,1
7263,629800380,10/13/2014,1450000.0,4,4,4360,24603,2,0.0,0.0,3,12,1997_to_2015,98074,47.6035,-122.005,0,0
7304,6072800170,4/28/2015,2500000.0,4,4,3330,24354,1,0.0,0.0,4,10,1950_to_1975,98006,47.5708,-122.19200000000001,0,0
7306,4131900066,8/25/2014,3100000.0,3,3,3920,13085,2,1.0,4.0,4,11,1975_to_1997,98040,47.5716,-122.204,0,0
7336,4289900005,12/30/2014,1540000.0,4,3,2850,4100,2,0.0,3.0,3,10,pre1950,98122,47.6147,-122.285,0,1
7339,4139910250,2/10/2015,1530000.0,4,4,5850,35070,2,0.0,0.0,4,12,1975_to_1997,98006,47.5485,-122.124,0,1
7380,5457300095,1/7/2015,1780000.0,4,3,3730,7071,3,0.0,2.0,3,11,1975_to_1997,98109,47.6292,-122.355,0,0
7397,524059148,6/6/2014,1600000.0,4,4,4280,9583,2,0.0,0.0,3,11,1997_to_2015,98004,47.5979,-122.197,0,0
7408,5017000470,7/10/2014,1980000.0,6,4,4800,9097,2,0.0,0.0,3,10,1997_to_2015,98112,47.6259,-122.291,0,1
7419,2524000050,12/12/2014,1390000.0,3,4,4240,21578,2,0.0,0.0,3,10,1975_to_1997,98040,47.5614,-122.215,0,1
7425,5316100780,9/22/2014,2580000.0,4,4,3280,3800,2,0.0,0.0,3,11,1997_to_2015,98112,47.6299,-122.28,0,1
7426,9362000080,3/16/2015,1600000.0,5,4,4050,20925,2,0.0,3.0,3,10,1950_to_1975,98040,47.5348,-122.241,1,1
7429,3459600440,11/25/2014,1310000.0,5,3,3650,16600,1,0.0,3.0,4,9,1975_to_1997,98006,47.56,-122.14399999999999,0,1
7451,7237550130,5/20/2014,1300000.0,4,4,4380,74052,1,0.0,0.0,3,11,1997_to_2015,98053,47.6587,-122.009,0,0
7486,2655500235,4/10/2015,1610000.0,4,4,3920,19088,1,0.0,1.0,3,10,1997_to_2015,98040,47.576,-122.214,0,1
7494,2525049133,4/2/2015,1400000.0,5,2,2640,14959,1,0.0,0.0,4,7,pre1950,98039,47.6191,-122.234,0,1
7499,9471200265,5/5/2015,2500000.0,4,3,3960,16224,2,0.0,2.0,3,12,pre1950,98105,47.6701,-122.259,0,1
7529,1860600535,12/20/2014,1320000.0,4,3,2120,3600,2,0.0,3.0,4,8,pre1950,98119,47.6344,-122.369,0,1
7543,3885805175,10/1/2014,1490000.0,4,3,3730,7200,2,0.0,0.0,3,10,1997_to_2015,98033,47.6824,-122.199,0,1
7571,4141010110,8/8/2014,1700000.0,4,4,4330,15335,2,0.0,0.0,4,11,1975_to_1997,98040,47.5315,-122.23100000000001,0,1
7637,6169901085,8/7/2014,1450000.0,4,2,3200,3600,3,0.0,3.0,4,9,1975_to_1997,98119,47.632,-122.369,0,1
7645,9185700485,4/1/2015,2540000.0,4,4,4350,6000,2,0.0,0.0,5,10,pre1950,98112,47.6277,-122.286,0,1
7661,6169900580,7/9/2014,1470000.0,6,4,4230,6420,2,0.0,3.0,4,8,pre1950,98119,47.6301,-122.369,0,1
7693,3761700053,1/5/2015,2150000.0,3,3,3470,9610,3,0.0,4.0,3,11,1975_to_1997,98034,47.7205,-122.26,0,0
7806,1689400375,8/5/2014,1450000.0,4,3,3100,3900,2,0.0,2.0,5,9,pre1950,98109,47.6385,-122.348,0,0
7837,8084900195,11/21/2014,1650000.0,6,4,4010,16200,1,0.0,0.0,3,8,1950_to_1975,98004,47.6322,-122.21600000000001,0,1
7879,3024059014,3/25/2015,1900000.0,4,2,3020,11489,2,1.0,3.0,5,10,pre1950,98040,47.5395,-122.21,0,1
7900,1068000375,9/23/2014,3200000.0,6,5,7100,18200,2,0.0,0.0,3,13,pre1950,98199,47.6427,-122.40799999999999,1,1
7904,1051000040,4/24/2015,1820000.0,3,2,3330,20053,2,0.0,0.0,3,9,1950_to_1975,98004,47.6395,-122.214,0,0
7926,7159200040,9/17/2014,2900000.0,4,3,4580,4838,2,0.0,3.0,4,11,1975_to_1997,98109,47.6305,-122.354,0,1
7982,9362000040,6/23/2014,3400000.0,3,4,5230,17826,2,1.0,4.0,3,10,1997_to_2015,98040,47.5348,-122.243,0,1
8021,9541600110,4/30/2015,1330000.0,3,2,3590,8400,1,0.0,0.0,3,9,1950_to_1975,98005,47.595,-122.17299999999999,1,1
8034,2025049111,6/19/2014,1440000.0,3,4,3870,3819,2,0.0,0.0,3,11,1997_to_2015,98102,47.6452,-122.31700000000001,0,1
8042,4134300175,4/17/2015,1850000.0,4,2,4120,14866,1,1.0,4.0,3,8,1950_to_1975,98006,47.5571,-122.193,0,1
8061,5317100530,8/27/2014,1480000.0,4,3,3050,6179,2,0.0,0.0,4,9,pre1950,98112,47.6253,-122.28399999999999,0,1
8085,1924059029,6/17/2014,4670000.0,5,7,9640,13068,1,1.0,4.0,3,12,1975_to_1997,98040,47.556999999999995,-122.21,1,1
8129,2597450620,10/9/2014,1510000.0,3,2,4010,12105,1,0.0,3.0,5,11,1975_to_1997,98006,47.553999999999995,-122.15100000000001,0,1
8145,4218400100,9/11/2014,1870000.0,6,3,4460,6952,2,0.0,2.0,4,10,pre1950,98105,47.6626,-122.26899999999999,0,1
8156,1724069079,3/19/2015,1450000.0,2,3,2070,3128,2,1.0,3.0,3,9,1975_to_1997,98075,47.5686,-122.06,0,1
8167,9279700150,2/12/2015,1630000.0,4,4,4410,8112,3,0.0,4.0,3,11,1997_to_2015,98116,47.5888,-122.39200000000001,0,1
8184,3623500205,5/13/2014,2450000.0,4,4,5030,11023,2,0.0,2.0,3,11,1997_to_2015,98040,47.5722,-122.236,0,1
8215,1954700610,12/9/2014,2190000.0,3,2,3360,7108,2,0.0,0.0,3,10,pre1950,98112,47.6187,-122.28399999999999,1,1
8234,3262301355,7/25/2014,1320000.0,3,3,2680,20104,1,0.0,0.0,5,9,1950_to_1975,98039,47.6304,-122.234,0,1
8322,1370801520,5/27/2014,1660000.0,4,4,3080,4815,2,0.0,3.0,3,10,pre1950,98199,47.6417,-122.411,1,1
8330,2770604925,7/15/2014,1300000.0,5,1,1670,6400,2,0.0,0.0,3,8,pre1950,98119,47.6542,-122.37299999999999,0,0
8411,1924059254,5/8/2015,1300000.0,5,4,3490,15246,1,0.0,1.0,4,10,1950_to_1975,98040,47.5479,-122.212,0,1
8436,125069038,11/25/2014,2140000.0,4,4,5150,453895,2,0.0,3.0,3,11,1975_to_1997,98053,47.6795,-121.991,0,1
8531,8964800755,1/16/2015,1590000.0,4,2,3240,11131,1,0.0,0.0,4,9,1950_to_1975,98004,47.6182,-122.215,0,1
8629,3835500195,6/18/2014,4490000.0,4,3,6430,27517,2,0.0,0.0,3,12,1997_to_2015,98004,47.6208,-122.219,0,0
8635,5456000025,12/1/2014,1440000.0,5,4,3420,8000,2,0.0,0.0,3,10,1997_to_2015,98040,47.5736,-122.212,0,0
8683,8835401250,5/6/2015,1490000.0,6,3,4430,6440,2,0.0,3.0,3,10,1950_to_1975,98118,47.5462,-122.265,1,1
8775,3343302110,3/6/2015,1800000.0,3,3,2790,13295,2,1.0,4.0,4,10,pre1950,98006,47.5466,-122.197,0,1
8799,7855200120,5/9/2014,1370000.0,4,3,3720,9450,1,0.0,4.0,5,10,1950_to_1975,98006,47.5627,-122.156,0,1
8829,2524049018,12/5/2014,1410000.0,5,2,3580,16789,2,0.0,0.0,5,9,1950_to_1975,98040,47.5364,-122.23899999999999,0,0
8853,2524049257,9/18/2014,1530000.0,4,2,4250,16940,1,0.0,2.0,4,9,1950_to_1975,98040,47.5453,-122.234,0,1
8897,4219400555,11/24/2014,1330000.0,3,2,2280,5000,2,0.0,3.0,4,9,pre1950,98105,47.6574,-122.27799999999999,0,0
8901,1118001560,7/10/2014,1910000.0,4,3,4460,6833,2,0.0,0.0,3,10,1950_to_1975,98112,47.6342,-122.289,1,1
9035,4151800410,10/31/2014,1350000.0,5,3,3540,5971,1,0.0,2.0,3,10,1997_to_2015,98033,47.6643,-122.20200000000001,0,1
9067,2424059052,7/10/2014,1330000.0,6,4,5720,10213,2,0.0,0.0,3,10,1997_to_2015,98006,47.5464,-122.116,0,1
9103,7352200100,2/24/2015,1360000.0,2,2,2620,14138,2,1.0,4.0,3,8,pre1950,98125,47.7142,-122.277,0,0
9124,2102700025,10/9/2014,1400000.0,5,3,4300,9270,2,0.0,3.0,3,10,1950_to_1975,98116,47.5717,-122.40899999999999,1,1
9166,3124059023,2/13/2015,1960000.0,3,2,3330,12566,1,1.0,4.0,4,8,1950_to_1975,98040,47.5287,-122.22,0,1
9184,3885804390,4/21/2015,1500000.0,4,3,3470,5222,2,0.0,0.0,3,10,1997_to_2015,98033,47.6845,-122.209,0,1
9244,853600150,5/24/2014,1680000.0,4,4,5584,68257,2,0.0,0.0,3,11,1997_to_2015,98014,47.6113,-121.95200000000001,0,0
9245,9208900037,9/19/2014,6890000.0,6,8,9890,31374,2,0.0,4.0,3,13,1997_to_2015,98039,47.6305,-122.24,0,1
9265,4139500410,1/26/2015,1680000.0,6,5,5770,16747,2,0.0,3.0,3,12,1997_to_2015,98006,47.5512,-122.11,0,1
9313,7768700300,12/5/2014,2580000.0,4,4,5540,15408,2,0.0,1.0,3,11,1997_to_2015,98004,47.6071,-122.212,0,1
9314,3536900110,10/9/2014,1360000.0,3,2,2310,21318,1,0.0,0.0,3,10,1975_to_1997,98004,47.6381,-122.22399999999999,0,0
9324,3324079089,11/21/2014,1340000.0,4,4,5050,202554,2,0.0,0.0,3,10,1997_to_2015,98027,47.5269,-121.92200000000001,0,1
9366,226059096,11/18/2014,1570000.0,5,4,5220,67319,2,0.0,0.0,3,11,1997_to_2015,98072,47.7666,-122.12799999999999,0,0
9405,5700003630,6/30/2014,1930000.0,5,4,4830,8050,2,0.0,0.0,4,11,pre1950,98144,47.5789,-122.286,0,1
9440,3472800065,8/26/2014,1700000.0,4,3,3600,9687,2,0.0,0.0,4,9,1950_to_1975,98004,47.6257,-122.208,0,0
9478,6072800205,11/19/2014,2380000.0,4,2,3220,20251,1,0.0,0.0,3,10,1950_to_1975,98006,47.5692,-122.19200000000001,0,0
9510,3401700150,4/23/2015,1350000.0,5,3,5530,38816,2,0.0,2.0,3,10,1950_to_1975,98072,47.7352,-122.116,0,0
9538,868001790,3/16/2015,1300000.0,3,1,2040,7936,1,0.0,3.0,5,8,pre1950,98177,47.7028,-122.385,0,1
9544,9320100090,6/10/2014,1800000.0,5,3,5270,17232,2,0.0,1.0,3,10,1975_to_1997,98040,47.5536,-122.228,1,1
9547,3179100180,5/7/2015,1540000.0,5,3,2920,6960,2,0.0,1.0,3,9,1950_to_1975,98105,47.6712,-122.272,1,1
9564,644000040,4/29/2015,1780000.0,4,3,3950,10912,2,0.0,0.0,3,10,1997_to_2015,98004,47.5877,-122.196,0,0
9599,1337800805,7/3/2014,1760000.0,3,2,2360,4800,2,0.0,0.0,3,9,pre1950,98112,47.6317,-122.31200000000001,0,0
9647,4389200753,8/19/2014,1570000.0,4,3,2810,8570,2,0.0,0.0,3,10,1975_to_1997,98004,47.6159,-122.211,0,0
9649,4217401035,5/7/2015,1480000.0,3,2,3290,5000,2,0.0,0.0,3,9,pre1950,98105,47.6582,-122.28,0,1
9657,1338300180,7/29/2014,1400000.0,4,2,3960,8640,2,0.0,2.0,3,9,pre1950,98112,47.6317,-122.304,0,1
9670,1370800700,2/9/2015,1700000.0,3,4,3910,5350,2,0.0,2.0,5,10,pre1950,98199,47.6393,-122.40799999999999,0,1
9686,524059250,9/22/2014,1390000.0,4,2,3450,17400,2,0.0,0.0,4,9,1950_to_1975,98004,47.5969,-122.206,0,1
9728,4104500181,8/12/2014,1650000.0,4,4,4610,12500,2,0.0,2.0,3,11,1997_to_2015,98033,47.6508,-122.20299999999999,0,0
9826,4094800260,11/26/2014,1730000.0,4,4,4440,20668,2,0.0,2.0,5,10,1950_to_1975,98040,47.5472,-122.235,0,1
9868,1118000935,7/5/2014,1740000.0,4,2,2920,6513,2,0.0,0.0,4,9,pre1950,98112,47.63800000000001,-122.29,0,1
9903,6137500310,2/13/2015,1320000.0,5,4,4420,36342,2,0.0,0.0,5,10,1975_to_1997,98007,47.6468,-122.15100000000001,0,1
9983,6738700335,7/1/2014,1700000.0,4,3,3770,10900,2,0.0,2.0,5,9,pre1950,98144,47.5849,-122.29,0,1
10074,7767000060,9/12/2014,1900000.0,5,4,6510,16471,2,0.0,3.0,4,11,1975_to_1997,98040,47.5758,-122.242,0,1
10087,868002015,2/25/2015,1330000.0,3,2,2960,8330,1,0.0,3.0,4,10,1950_to_1975,98177,47.7035,-122.385,0,1
10100,4217401180,5/30/2014,1370000.0,3,2,2090,6000,2,0.0,0.0,4,9,pre1950,98105,47.6567,-122.281,0,0
10166,1370800935,6/18/2014,1400000.0,3,2,2020,5500,2,0.0,3.0,3,10,pre1950,98199,47.6388,-122.40899999999999,0,1
10233,1689401230,6/25/2014,1360000.0,3,2,2680,4775,2,0.0,2.0,5,8,pre1950,98109,47.6333,-122.34700000000001,0,1
10252,625059036,8/13/2014,2700000.0,5,4,4230,27295,2,1.0,4.0,3,8,pre1950,98033,47.6803,-122.214,0,1
10267,1441600160,7/23/2014,1300000.0,4,3,4120,14021,2,0.0,0.0,3,11,1997_to_2015,98075,47.5985,-122.02600000000001,0,0
10362,3303850390,12/12/2014,2980000.0,5,6,7400,18898,2,0.0,3.0,3,13,1997_to_2015,98006,47.5431,-122.11200000000001,0,1
10379,5316100106,10/10/2014,1400000.0,3,2,2560,3600,2,0.0,0.0,3,9,1950_to_1975,98112,47.632,-122.279,0,1
10394,3885804260,10/24/2014,1380000.0,4,4,3500,9523,2,0.0,0.0,3,10,1975_to_1997,98033,47.6848,-122.208,0,1
10435,1118000320,5/8/2015,3400000.0,4,4,4260,11765,2,0.0,0.0,3,11,pre1950,98112,47.63800000000001,-122.288,1,1
10454,333100295,11/24/2014,3120000.0,3,4,4490,56609,2,1.0,4.0,3,12,1975_to_1997,98034,47.6997,-122.24,0,0
10457,1732800310,3/2/2015,2000000.0,4,4,2870,4500,2,0.0,3.0,3,10,1997_to_2015,98119,47.6291,-122.363,0,1
10487,8712100350,9/9/2014,1350000.0,4,3,3030,5164,2,0.0,0.0,5,9,pre1950,98112,47.6394,-122.29899999999999,0,1
10492,6669200200,3/19/2015,1500000.0,5,3,2590,11500,1,0.0,2.0,4,9,1950_to_1975,98040,47.545,-122.229,0,0
10513,8146200070,3/10/2015,1700000.0,5,3,3810,9360,2,0.0,0.0,3,10,1997_to_2015,98004,47.6039,-122.194,0,0
10514,624069050,4/7/2015,1570000.0,4,4,5370,323215,2,0.0,0.0,3,10,1997_to_2015,98075,47.6003,-122.07600000000001,0,0
10527,1623069046,3/12/2015,1700000.0,4,4,4070,336283,2,0.0,0.0,3,11,1997_to_2015,98027,47.478,-122.038,0,0
10685,486000510,5/23/2014,1330000.0,4,3,3370,7920,1,0.0,3.0,3,10,1975_to_1997,98117,47.6773,-122.40299999999999,0,0
10754,269001331,9/9/2014,1310000.0,5,2,3200,7863,1,0.0,3.0,5,8,1950_to_1975,98199,47.6398,-122.39,0,1
10805,4139480350,1/13/2015,1690000.0,4,4,5000,12941,3,0.0,2.0,3,12,1997_to_2015,98006,47.55,-122.103,0,0
10828,6117502220,11/17/2014,1580000.0,3,3,2610,22672,2,1.0,4.0,4,8,1950_to_1975,98166,47.4414,-122.354,0,0
10901,2954400310,9/15/2014,1770000.0,4,4,5440,38900,2,0.0,0.0,3,12,1975_to_1997,98053,47.6605,-122.069,0,0
10937,8085400055,4/28/2015,1580000.0,4,2,3980,16304,1,0.0,1.0,3,10,1950_to_1975,98004,47.638999999999996,-122.21,0,1
10939,853600310,8/28/2014,1610000.0,5,4,6085,142725,3,0.0,0.0,3,11,1997_to_2015,98014,47.6085,-121.95200000000001,0,0
10946,1652500060,7/11/2014,1650000.0,8,3,4040,20666,1,0.0,0.0,4,9,1950_to_1975,98004,47.63399999999999,-122.221,0,1
10967,1925059200,4/7/2015,1560000.0,4,2,2700,17853,2,0.0,0.0,4,9,1950_to_1975,98004,47.6463,-122.219,0,0
10970,1330300451,12/17/2014,1570000.0,3,2,2190,8500,1,0.0,0.0,4,9,1950_to_1975,98112,47.64,-122.285,0,0
11006,7153200160,1/14/2015,1380000.0,5,3,3450,6360,2,0.0,0.0,5,9,pre1950,98122,47.6133,-122.287,0,1
11061,5154700060,10/15/2014,1660000.0,4,3,3520,19200,1,1.0,4.0,4,9,1950_to_1975,98136,47.525,-122.39299999999999,0,1
11081,3179100055,12/9/2014,1300000.0,5,4,3700,8504,2,0.0,0.0,3,8,pre1950,98105,47.669,-122.275,1,1
11093,4054530260,6/27/2014,1820000.0,4,4,6640,53330,2,0.0,0.0,3,12,1975_to_1997,98077,47.7283,-122.046,0,0
11195,191100672,5/27/2014,1380000.0,4,4,3160,9525,2,0.0,0.0,3,10,1975_to_1997,98040,47.5623,-122.221,0,0
11205,8964800695,3/27/2015,1450000.0,3,2,2230,13529,1,0.0,0.0,3,9,pre1950,98004,47.6204,-122.21700000000001,0,0
11213,6613000935,5/13/2014,2560000.0,4,2,5300,26211,2,1.0,2.0,2,10,pre1950,98105,47.661,-122.26899999999999,0,1
11214,4054530240,4/27/2015,1400000.0,4,4,4380,66613,2,0.0,0.0,3,11,1975_to_1997,98077,47.7279,-122.04799999999999,0,0
11221,2655500241,8/14/2014,1700000.0,3,3,4160,35153,3,0.0,2.0,3,12,1997_to_2015,98040,47.5749,-122.214,0,1
11245,3761100045,6/18/2014,3000000.0,4,4,4850,12445,2,1.0,4.0,5,10,1975_to_1997,98034,47.7011,-122.244,0,1
11255,3536900030,2/9/2015,1600000.0,3,3,3040,21052,2,0.0,0.0,4,10,1975_to_1997,98004,47.63800000000001,-122.225,0,0
11256,328000160,12/11/2014,1400000.0,5,4,3700,7920,3,0.0,4.0,3,9,1975_to_1997,98115,47.6865,-122.266,0,1
11266,3025300226,5/15/2014,2100000.0,4,2,3550,19865,2,0.0,0.0,3,9,1950_to_1975,98039,47.6236,-122.235,1,0
11272,5078400160,6/5/2014,1800000.0,5,4,4400,15580,2,0.0,0.0,3,11,1997_to_2015,98004,47.6232,-122.20700000000001,0,1
11386,2154500060,12/3/2014,1710000.0,5,3,4290,17100,1,0.0,3.0,3,9,1950_to_1975,98040,47.5473,-122.211,1,1
11390,3426049284,8/19/2014,2300000.0,4,3,4110,15929,2,1.0,4.0,3,12,1997_to_2015,98115,47.6934,-122.271,0,1
11401,9472200060,11/5/2014,1300000.0,3,3,3340,12690,1,0.0,0.0,3,10,1950_to_1975,98105,47.6665,-122.27,0,1
11434,624069035,12/9/2014,2750000.0,4,4,4130,5575,2,1.0,4.0,4,10,1975_to_1997,98075,47.5968,-122.083,0,1
11453,4218400671,5/5/2015,1660000.0,4,2,3530,5500,2,0.0,0.0,3,8,pre1950,98105,47.6618,-122.273,0,1
11476,2883200139,3/6/2015,1330000.0,4,4,2170,3672,2,0.0,0.0,3,9,pre1950,98115,47.6828,-122.329,0,0
11523,8964800890,1/9/2015,3200000.0,3,3,4560,13363,1,0.0,4.0,3,11,1975_to_1997,98004,47.6205,-122.214,0,1
11560,6645950070,4/1/2015,1450000.0,4,4,5000,38012,2,0.0,0.0,3,11,1997_to_2015,98029,47.553999999999995,-122.036,0,1
11562,1336800240,5/8/2014,1750000.0,6,3,3510,5760,2,0.0,0.0,4,10,pre1950,98112,47.6263,-122.31200000000001,0,0
11594,4139910030,3/2/2015,1300000.0,5,2,4170,33310,2,0.0,0.0,4,11,1975_to_1997,98006,47.5455,-122.126,0,0
11608,1069000070,4/15/2015,2800000.0,5,3,4590,12793,2,0.0,2.0,5,11,pre1950,98199,47.6453,-122.41,0,1
